rent_price,location,sq_mt,bedroom_n,bathroom_n
750 €/mes,San Andrés (Distrito Villaverde. Madrid Capital),70 m²,3,1
800 €/mes,Prosperidad (Distrito Chamartín. Madrid Capital),46 m²,1,1
2.000 €/mes,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),123 m²,3,2
1.600 €/mes,La Paz (Distrito Fuencarral-El Pardo. Madrid Capital),135 m²,3,2
800 €/mes,Delicias (Distrito Arganzuela. Madrid Capital),55 m²,1,1
1.200 €/mes,Rosas (Distrito San Blas. Madrid Capital),130 m²,4,2
825 €/mes,Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),60 m²,1,1
750 €/mes,Palos de Moguer (Distrito Arganzuela. Madrid Capital),40 m²,2,1
1.200 €/mes,Rosas (Distrito San Blas. Madrid Capital),148 m²,3,2
1.400 €/mes,Mirasierra-Arroyo del Fresno (Distrito Fuencarral-El Pardo. Madrid Capital),90 m²,3,1
1.500 €/mes,Prosperidad (Distrito Chamartín. Madrid Capital),105 m²,3,2
1.100 €/mes,Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),94 m²,3,2
725 €/mes,Las Águilas (Distrito Latina. Madrid Capital),65 m²,2,1
2.500 €/mes,Goya (Distrito Salamanca. Madrid Capital),129 m²,3,2
900 €/mes,Acacias (Distrito Arganzuela. Madrid Capital),50 m²,1,1
800 €/mes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),45 m²,2,1
650 €/mes,Delicias (Distrito Arganzuela. Madrid Capital),34 m²,1,1
750 €/mes,Moscardó (Distrito Usera. Madrid Capital),65 m²,2,1
950 €/mes,Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital),80 m²,2,1
750 €/mes,Amposta (Distrito San Blas. Madrid Capital),60 m²,3,1
2.200 €/mes,Goya (Distrito Salamanca. Madrid Capital),112 m²,3,2
1.300 €/mes,Puerta del Ángel (Distrito Latina. Madrid Capital),115 m²,3,2
650 €/mes,Moscardó (Distrito Usera. Madrid Capital),45 m²,1,1
800 €/mes,Guindalera (Distrito Salamanca. Madrid Capital),60 m²,1,1
700 €/mes,Palos de Moguer (Distrito Arganzuela. Madrid Capital),26 m²,1,"26
 €/m²"
1.200 €/mes,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),100 m²,3,2
1.100 €/mes,Sanchinarro (Distrito Hortaleza. Madrid Capital),80 m²,2,2
650 €/mes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),25 m²,1,1
1.100 €/mes,Guindalera (Distrito Salamanca. Madrid Capital),85 m²,2,1
900 €/mes,Vista Alegre (Distrito Carabanchel. Madrid Capital),67 m²,2,1
900 €/mes,Palacio (Distrito Centro. Madrid Capital),60 m²,1,1
1.200 €/mes,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),85 m²,2,2
1.800 €/mes,Palacio (Distrito Centro. Madrid Capital),118 m²,4,1
1.500 €/mes,Sanchinarro (Distrito Hortaleza. Madrid Capital),136 m²,4,2
8.500 €/mes,Castellana (Distrito Salamanca. Madrid Capital),321 m²,"26
 €/m²",
1.200 €/mes,Simancas (Distrito San Blas. Madrid Capital),120 m²,3,2
1.095 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),72 m²,2,1
1.795 €/mes,Hispanoamérica (Distrito Chamartín. Madrid Capital),105 m²,2,2
1.900 €/mes,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),100 m²,2,2
1.250 €/mes,Palacio (Distrito Centro. Madrid Capital),75 m²,3,1
1.800 €/mes,Simancas (Distrito San Blas. Madrid Capital),156 m²,4,3
1.110 €/mes,Sanchinarro (Distrito Hortaleza. Madrid Capital),85 m²,2,2
2.800 €/mes,Recoletos (Distrito Salamanca. Madrid Capital),93 m²,2,2
1.195 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),60 m²,1,1
1.100 €/mes,Mirasierra-Arroyo del Fresno (Distrito Fuencarral-El Pardo. Madrid Capital),57 m²,1,1
1.000 €/mes,Prosperidad (Distrito Chamartín. Madrid Capital),84 m²,3,1
650 €/mes,Hispanoamérica (Distrito Chamartín. Madrid Capital),30 m²,1,2ª planta
1.300 €/mes,Guindalera (Distrito Salamanca. Madrid Capital),81 m²,2,1
1.100 €/mes,Fuente del Berro (Distrito Salamanca. Madrid Capital),95 m²,3,1
700 €/mes,Numancia (Distrito Puente de Vallecas. Madrid Capital),42 m²,1,1
1.950 €/mes,Ríos Rosas (Distrito Chamberí. Madrid Capital),95 m²,2,2
750 €/mes,Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital),50 m²,1,1
3.900 €/mes,Recoletos (Distrito Salamanca. Madrid Capital),180 m²,Sótano,
850 €/mes,Ibiza (Distrito Retiro. Madrid Capital),35 m²,1,1
1.200 €/mes,Justicia-Chueca (Distrito Centro. Madrid Capital),60 m²,1,1
550 €/mes,Cuatro Caminos (Distrito Tetuán. Madrid Capital),24 m²,1,3ª planta
1.095 €/mes,Legazpi (Distrito Arganzuela. Madrid Capital),65 m²,1,1
1.100 €/mes,Trafalgar (Distrito Chamberí. Madrid Capital),40 m²,1,1
875 €/mes,Puerta del Ángel (Distrito Latina. Madrid Capital),50 m²,1,1
650 €/mes,Goya (Distrito Salamanca. Madrid Capital),30 m²,1,1
900 €/mes,Justicia-Chueca (Distrito Centro. Madrid Capital),50 m²,1,1
1.700 €/mes,Hispanoamérica (Distrito Chamartín. Madrid Capital),90 m²,2,2
1.950 €/mes,Palacio (Distrito Centro. Madrid Capital),170 m²,3,2
750 €/mes,Media Legua (Distrito Moratalaz. Madrid Capital),60 m²,3,1
1.350 €/mes,Cuatro Caminos (Distrito Tetuán. Madrid Capital),58 m²,1,1
895 €/mes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),45 m²,1,1
800 €/mes,Valverde (Distrito Fuencarral-El Pardo. Madrid Capital),70 m²,2,1
2.700 €/mes,Almagro (Distrito Chamberí. Madrid Capital),170 m²,3,4
1.250 €/mes,Valverde (Distrito Fuencarral-El Pardo. Madrid Capital),85 m²,3,1
1.200 €/mes,Justicia-Chueca (Distrito Centro. Madrid Capital),50 m²,1,1
850 €/mes,Bellas Vistas (Distrito Tetuán. Madrid Capital),51 m²,1,1
1.200 €/mes,Almagro (Distrito Chamberí. Madrid Capital),60 m²,1,1
1.050 €/mes,Ciudad Jardín (Distrito Chamartín. Madrid Capital),59 m²,1,1
3.000 €/mes,Recoletos (Distrito Salamanca. Madrid Capital),145 m²,3,2
1.500 €/mes,Castellana (Distrito Salamanca. Madrid Capital),57 m²,2,1
700 €/mes,Ventas (Distrito Ciudad Lineal. Madrid Capital),50 m²,1,1
1.400 €/mes,Castillejos (Distrito Tetuán. Madrid Capital),80 m²,1,1
