rent_price,location,sq_mt,bedroom_n,bathroom_n
800 €/mes,Prosperidad (Distrito Chamartín. Madrid Capital),50 m²,1,1
1.250 €/mes,Sanchinarro (Distrito Hortaleza. Madrid Capital),110 m²,3,2
700 €/mes,Casco Histórico de Vallecas (Distrito Villa de Vallecas. Madrid Capital),70 m²,2,1
1.500 €/mes,Prosperidad (Distrito Chamartín. Madrid Capital),100 m²,3,2
1.250 €/mes,Puerta del Ángel (Distrito Latina. Madrid Capital),115 m²,3,2
1.000 €/mes,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),64 m²,2,1
800 €/mes,Valverde (Distrito Fuencarral-El Pardo. Madrid Capital),60 m²,2,1
1.150 €/mes,Sanchinarro (Distrito Hortaleza. Madrid Capital),90 m²,2,2
1.100 €/mes,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),68 m²,2,2
750 €/mes,Palacio (Distrito Centro. Madrid Capital),39 m²,1,"19
 €/m²"
750 €/mes,Casco Histórico de Vallecas (Distrito Villa de Vallecas. Madrid Capital),70 m²,2,1
750 €/mes,Palacio (Distrito Centro. Madrid Capital),48 m²,1,1
1.200 €/mes,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),90 m²,2,2
575 €/mes,Puerta del Ángel (Distrito Latina. Madrid Capital),35 m²,1,2ª planta
900 €/mes,Palos de Moguer (Distrito Arganzuela. Madrid Capital),54 m²,2,1
900 €/mes,Prosperidad (Distrito Chamartín. Madrid Capital),66 m²,2,1
700 €/mes,Las Águilas (Distrito Latina. Madrid Capital),61 m²,2,1
950 €/mes,Mirasierra-Arroyo del Fresno (Distrito Fuencarral-El Pardo. Madrid Capital),70 m²,2,1
900 €/mes,Rosas (Distrito San Blas. Madrid Capital),78 m²,1,1
800 €/mes,Guindalera (Distrito Salamanca. Madrid Capital),60 m²,1,1
1.200 €/mes,Prosperidad (Distrito Chamartín. Madrid Capital),102 m²,2,2
1.150 €/mes,Rosas (Distrito San Blas. Madrid Capital),98 m²,3,2
1.200 €/mes,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),90 m²,2,2
1.300 €/mes,Prosperidad (Distrito Chamartín. Madrid Capital),82 m²,3,1
2.200 €/mes,Goya (Distrito Salamanca. Madrid Capital),112 m²,3,2
1.150 €/mes,Mirasierra-Arroyo del Fresno (Distrito Fuencarral-El Pardo. Madrid Capital),94 m²,3,2
1.200 €/mes,Delicias (Distrito Arganzuela. Madrid Capital),69 m²,2,1
650 €/mes,Palomeras Sureste (Distrito Puente de Vallecas. Madrid Capital),45 m²,1,1
800 €/mes,Valverde (Distrito Fuencarral-El Pardo. Madrid Capital),66 m²,"12
 €/m²",
700 €/mes,Guindalera (Distrito Salamanca. Madrid Capital),45 m²,1,1
1.700 €/mes,Palos de Moguer (Distrito Arganzuela. Madrid Capital),84 m²,3,2
750 €/mes,Palomeras Sureste (Distrito Puente de Vallecas. Madrid Capital),59 m²,3,1
680 €/mes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),60 m²,2,1
770 €/mes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),40 m²,1,1
1.850 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),140 m²,2,2
850 €/mes,Lucero (Distrito Latina. Madrid Capital),65 m²,2,1
5.900 €/mes,Piovera (Distrito Hortaleza. Madrid Capital),366 m²,5,6
950 €/mes,Opañel (Distrito Carabanchel. Madrid Capital),87 m²,3,2
5.000 €/mes,Valdebebas-Valdefuentes (Distrito Hortaleza. Madrid Capital),342 m²,5,5
8.500 €/mes,Castellana (Distrito Salamanca. Madrid Capital),321 m²,"26
 €/m²",
850 €/mes,Palos de Moguer (Distrito Arganzuela. Madrid Capital),49 m²,1,1
1.300 €/mes,Nueva España (Distrito Chamartín. Madrid Capital),97 m²,3,2
2.200 €/mes,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),140 m²,3,2
1.899 €/mes,El Plantío (Distrito Moncloa-Aravaca. Madrid Capital),70 m²,2,2
3.900 €/mes,Recoletos (Distrito Salamanca. Madrid Capital),180 m²,Sótano,
1.350 €/mes,Cuatro Caminos (Distrito Tetuán. Madrid Capital),58 m²,1,1
2.950 €/mes,Goya (Distrito Salamanca. Madrid Capital),153 m²,3,1
1.000 €/mes,Timón (Distrito Barajas. Madrid Capital),108 m²,3,2
990 €/mes,Simancas (Distrito San Blas. Madrid Capital),80 m²,1,1
1.995 €/mes,Arapiles (Distrito Chamberí. Madrid Capital),146 m²,4,3
750 €/mes,Canillas (Distrito Hortaleza. Madrid Capital),38 m²,1,1
1.590 €/mes,Hispanoamérica (Distrito Chamartín. Madrid Capital),90 m²,2,2
950 €/mes,Imperial (Distrito Arganzuela. Madrid Capital),64 m²,2,1
695 €/mes,Acacias (Distrito Arganzuela. Madrid Capital),50 m²,1,"13
 €/m²"
800 €/mes,Opañel (Distrito Carabanchel. Madrid Capital),77 m²,3,1
900 €/mes,Adelfas (Distrito Retiro. Madrid Capital),58 m²,2,1
995 €/mes,Puerta del Ángel (Distrito Latina. Madrid Capital),80 m²,3,1
1.570 €/mes,Gaztambide (Distrito Chamberí. Madrid Capital),101 m²,3,1
1.000 €/mes,Castellana (Distrito Salamanca. Madrid Capital),55 m²,1,1
775 €/mes,Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital),49 m²,2,1
700 €/mes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),55 m²,1,1
1.250 €/mes,Ventas (Distrito Ciudad Lineal. Madrid Capital),87 m²,3,1
850 €/mes,Bellas Vistas (Distrito Tetuán. Madrid Capital),80 m²,2,1
1.100 €/mes,Puerta del Ángel (Distrito Latina. Madrid Capital),90 m²,3,1
900 €/mes,Adelfas (Distrito Retiro. Madrid Capital),60 m²,2,1
15.000 €/mes,Palomas (Distrito Hortaleza. Madrid Capital),1.250 m²,7,7
1.050 €/mes,Aluche (Distrito Latina. Madrid Capital),109 m²,3,2
800 €/mes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),45 m²,1,2
3.150 €/mes,Nueva España (Distrito Chamartín. Madrid Capital),220 m²,4,3
1.500 €/mes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),90 m²,2,2
2.100 €/mes,Trafalgar (Distrito Chamberí. Madrid Capital),114 m²,4,2
1.845 €/mes,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),107 m²,3,2
6.500 €/mes,Recoletos (Distrito Salamanca. Madrid Capital),226 m²,4,4
1.250 €/mes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),100 m²,2,1
1.200 €/mes,Sol (Distrito Centro. Madrid Capital),77 m²,2,1
875 €/mes,Ciudad Jardín (Distrito Chamartín. Madrid Capital),50 m²,1,1
1.550 €/mes,Goya (Distrito Salamanca. Madrid Capital),100 m²,2,1
930 €/mes,Valderrivas (Distrito Vicálvaro. Madrid Capital),90 m²,3,2
1.700 €/mes,El Viso (Distrito Chamartín. Madrid Capital),100 m²,3,2
750 €/mes,Puerta del Ángel (Distrito Latina. Madrid Capital),35 m²,1,2ª planta
2.500 €/mes,Castellana (Distrito Salamanca. Madrid Capital),180 m²,3,3
600 €/mes,Puerta del Ángel (Distrito Latina. Madrid Capital),70 m²,1,"8
 €/m²"
1.000 €/mes,Lista (Distrito Salamanca. Madrid Capital),60 m²,1,1
920 €/mes,Marroquina (Distrito Moratalaz. Madrid Capital),94 m²,3,2
1.300 €/mes,Hispanoamérica (Distrito Chamartín. Madrid Capital),89 m²,2,1
850 €/mes,Santa Eugenia (Distrito Villa de Vallecas. Madrid Capital),90 m²,3,2
5.200 €/mes,Castellana (Distrito Salamanca. Madrid Capital),450 m²,5,5
1.000 €/mes,Cuatro Caminos (Distrito Tetuán. Madrid Capital),45 m²,1,1
1.350 €/mes,Marroquina (Distrito Moratalaz. Madrid Capital),140 m²,4,2
1.100 €/mes,Justicia-Chueca (Distrito Centro. Madrid Capital),50 m²,1,1
1.900 €/mes,Cuatro Caminos (Distrito Tetuán. Madrid Capital),128 m²,4,1
1.800 €/mes,Cortes-Huertas (Distrito Centro. Madrid Capital),110 m²,2,2
1.200 €/mes,Arapiles (Distrito Chamberí. Madrid Capital),70 m²,2,1
650 €/mes,Arapiles (Distrito Chamberí. Madrid Capital),1,,"Avísame si baja





Guardar




Contactar"
2.550 €/mes,Jerónimos (Distrito Retiro. Madrid Capital),184 m²,2,3
3.400 €/mes,Castellana (Distrito Salamanca. Madrid Capital),152 m²,3,3
1.450 €/mes,Guindalera (Distrito Salamanca. Madrid Capital),85 m²,2,2
1.150 €/mes,Ríos Rosas (Distrito Chamberí. Madrid Capital),65 m²,2,1
1.450 €/mes,Justicia-Chueca (Distrito Centro. Madrid Capital),75 m²,1,1
2.200 €/mes,Castillejos (Distrito Tetuán. Madrid Capital),100 m²,3,2
4.200 €/mes,Hispanoamérica (Distrito Chamartín. Madrid Capital),270 m²,4,4
1.100 €/mes,Valdeacederas (Distrito Tetuán. Madrid Capital),83 m²,3,1
1.700 €/mes,Ríos Rosas (Distrito Chamberí. Madrid Capital),110 m²,2,1
950 €/mes,Adelfas (Distrito Retiro. Madrid Capital),76 m²,2,1
600 €/mes,Justicia-Chueca (Distrito Centro. Madrid Capital),40 m²,1,1
1.850 €/mes,Mirasierra-Arroyo del Fresno (Distrito Fuencarral-El Pardo. Madrid Capital),154 m²,4,3
1.475 €/mes,Castilla (Distrito Chamartín. Madrid Capital),120 m²,3,2
750 €/mes,Pau de Carabanchel (Distrito Carabanchel. Madrid Capital),53 m²,1,1
